id,date,season,gender,event_name,match_type,match_type_number,match_number,city,venue,team1,team2,referee,reserve_umpire,tv_umpire,umpire1,umpire2,team1players,team2players,toss_winner,toss_decision,winner,result,eliminator,wonBy,margin,method,player_of_match
578615,07-06-2013,2013,male,ICC Champions Trophy,ODI,3364,2,London,Kennington Oval,Pakistan,West Indies,['BC Broad'],['RA Kettleborough'],['AL Hill'],SJ Davis,NJ Llong,"['Imran Farhat', 'Nasir Jamshed', 'Mohammad Hafeez', 'Asad Shafiq', 'Misbah-ul-Haq', 'Shoaib Malik', 'Kamran Akmal', 'Wahab Riaz', 'Saeed Ajmal', 'Junaid Khan', 'Mohammad Irfan']","['CH Gayle', 'J Charles', 'DM Bravo', 'MN Samuels', 'RR Sarwan', 'KA Pollard', 'DJ Bravo', 'D Ramdin', 'SP Narine', 'KAJ Roach', 'R Rampaul']",West Indies,field,West Indies,,,wickets,2,,['KAJ Roach']
578616,08-06-2013,2013,male,ICC Champions Trophy,ODI,3365,3,Birmingham,Edgbaston,England,Australia,['J Srinath'],['Aleem Dar'],['BF Bowden'],HDPK Dharmasena,M Erasmus,"['AN Cook', 'IR Bell', 'IJL Trott', 'JE Root', 'EJG Morgan', 'RS Bopara', 'JC Buttler', 'TT Bresnan', 'SCJ Broad', 'JC Tredwell', 'JM Anderson']","['DA Warner', 'SR Watson', 'PJ Hughes', 'GJ Bailey', 'AC Voges', 'MR Marsh', 'MS Wade', 'JP Faulkner', 'MG Johnson', 'MA Starc', 'CJ McKay']",England,bat,England,,,runs,48,,['IR Bell']
578617,09-06-2013,2013,male,ICC Champions Trophy,ODI,3366,4,Cardiff,Sophia Gardens,New Zealand,Sri Lanka,['AJ Pycroft'],['SJ Davis'],['IJ Gould'],BNJ Oxenford,RJ Tucker,"['MJ Guptill', 'L Ronchi', 'KS Williamson', 'LRPL Taylor', 'JEC Franklin', 'BB McCullum', 'DL Vettori', 'NL McCullum', 'TG Southee', 'KD Mills', 'MJ McClenaghan']","['MDKJ Perera', 'TM Dilshan', 'KC Sangakkara', 'DPMD Jayawardene', 'LD Chandimal', 'AD Mathews', 'HDRL Thirimanne', 'NLTC Perera', 'HMRKB Herath', 'RMS Eranga', 'SL Malinga']",Sri Lanka,bat,New Zealand,,,wickets,1,,['NL McCullum']
578618,10-06-2013,2013,male,ICC Champions Trophy,ODI,3367,5,Birmingham,Edgbaston,Pakistan,South Africa,['J Srinath'],['HDPK Dharmasena'],['NJ Llong'],BF Bowden,RA Kettleborough,"['Imran Farhat', 'Nasir Jamshed', 'Mohammad Hafeez', 'Shoaib Malik', 'Misbah-ul-Haq', 'Umar Amin', 'Kamran Akmal', 'Wahab Riaz', 'Saeed Ajmal', 'Junaid Khan', 'Mohammad Irfan']","['CA Ingram', 'HM Amla', 'F du Plessis', 'AB de Villiers', 'JP Duminy', 'DA Miller', 'R McLaren', 'RJ Peterson', 'CH Morris', 'AM Phangiso', 'LL Tsotsobe']",South Africa,bat,South Africa,,,runs,67,,['HM Amla']
578619,11-06-2013,2013,male,ICC Champions Trophy,ODI,3368,6,London,Kennington Oval,India,West Indies,['BC Broad'],['M Erasmus'],['SJ Davis'],Aleem Dar,AL Hill,"['RG Sharma', 'S Dhawan', 'V Kohli', 'KD Karthik', 'SK Raina', 'MS Dhoni', 'RA Jadeja', 'R Ashwin', 'I Sharma', 'B Kumar', 'UT Yadav']","['CH Gayle', 'J Charles', 'DM Bravo', 'MN Samuels', 'RR Sarwan', 'DJ Bravo', 'KA Pollard', 'DJG Sammy', 'SP Narine', 'R Rampaul', 'KAJ Roach']",India,field,India,,,wickets,8,,['RA Jadeja']
578620,12-06-2013,2013,male,ICC Champions Trophy,ODI,3369,7,Birmingham,Edgbaston,Australia,New Zealand,['BC Broad'],['IJ Gould'],['RA Kettleborough'],HDPK Dharmasena,NJ Llong,"['SR Watson', 'MS Wade', 'PJ Hughes', 'GJ Bailey', 'AC Voges', 'MR Marsh', 'GJ Maxwell', 'JP Faulkner', 'MG Johnson', 'CJ McKay', 'XJ Doherty']","['L Ronchi', 'MJ Guptill', 'KS Williamson', 'LRPL Taylor', 'BB McCullum', 'JEC Franklin', 'NL McCullum', 'DL Vettori', 'TG Southee', 'KD Mills', 'MJ McClenaghan']",Australia,bat,,no result,,,,,
578621,13-06-2013,2013,male,ICC Champions Trophy,ODI,3370,8,London,Kennington Oval,England,Sri Lanka,['J Srinath'],['AL Hill'],['M Erasmus'],Aleem Dar,BF Bowden,"['AN Cook', 'IR Bell', 'IJL Trott', 'JE Root', 'EJG Morgan', 'JC Buttler', 'RS Bopara', 'TT Bresnan', 'SCJ Broad', 'GP Swann', 'JM Anderson']","['MDKJ Perera', 'TM Dilshan', 'KC Sangakkara', 'DPMD Jayawardene', 'KMDN Kulasekara', 'LD Chandimal', 'AD Mathews', 'HDRL Thirimanne', 'HMRKB Herath', 'RMS Eranga', 'SL Malinga']",Sri Lanka,field,Sri Lanka,,,wickets,7,,['KC Sangakkara']
578622,14-06-2013,2013,male,ICC Champions Trophy,ODI,3371,9,Cardiff,Sophia Gardens,South Africa,West Indies,['AJ Pycroft'],['Aleem Dar'],['BNJ Oxenford'],SJ Davis,RJ Tucker,"['CA Ingram', 'HM Amla', 'AB de Villiers', 'JP Duminy', 'F du Plessis', 'DA Miller', 'R McLaren', 'RJ Peterson', 'CH Morris', 'DW Steyn', 'LL Tsotsobe']","['CH Gayle', 'J Charles', 'DS Smith', 'MN Samuels', 'DM Bravo', 'KA Pollard', 'DJ Bravo', 'DJG Sammy', 'SP Narine', 'TL Best', 'R Rampaul']",West Indies,field,,tie,,,,D/L,['CA Ingram']
578623,15-06-2013,2013,male,ICC Champions Trophy,ODI,3372,10,Birmingham,Edgbaston,India,Pakistan,['BC Broad'],['NJ Llong'],['HDPK Dharmasena'],IJ Gould,RA Kettleborough,"['RG Sharma', 'S Dhawan', 'V Kohli', 'KD Karthik', 'SK Raina', 'MS Dhoni', 'RA Jadeja', 'R Ashwin', 'I Sharma', 'B Kumar', 'UT Yadav']","['Nasir Jamshed', 'Kamran Akmal', 'Mohammad Hafeez', 'Asad Shafiq', 'Misbah-ul-Haq', 'Shoaib Malik', 'Umar Amin', 'Wahab Riaz', 'Saeed Ajmal', 'Junaid Khan', 'Mohammad Irfan']",India,field,India,,,wickets,8,D/L,['B Kumar']
578624,16-06-2013,2013,male,ICC Champions Trophy,ODI,3373,11,Cardiff,Sophia Gardens,England,New Zealand,['AJ Pycroft'],['HDPK Dharmasena'],['SJ Davis'],BNJ Oxenford,RJ Tucker,"['AN Cook', 'IR Bell', 'IJL Trott', 'JE Root', 'EJG Morgan', 'JC Buttler', 'RS Bopara', 'TT Bresnan', 'SCJ Broad', 'JC Tredwell', 'JM Anderson']","['MJ Guptill', 'L Ronchi', 'KS Williamson', 'LRPL Taylor', 'BB McCullum', 'JEC Franklin', 'CJ Anderson', 'NL McCullum', 'KD Mills', 'DL Vettori', 'MJ McClenaghan']",New Zealand,field,England,,,runs,10,,['AN Cook']
578625,17-06-2013,2013,male,ICC Champions Trophy,ODI,3374,12,London,Kennington Oval,Australia,Sri Lanka,['J Srinath'],['BF Bowden'],['Aleem Dar'],M Erasmus,AL Hill,"['SR Watson', 'PJ Hughes', 'GJ Maxwell', 'GJ Bailey', 'AC Voges', 'MR Marsh', 'MS Wade', 'JP Faulkner', 'MG Johnson', 'CJ McKay', 'XJ Doherty']","['MDKJ Perera', 'TM Dilshan', 'KC Sangakkara', 'HDRL Thirimanne', 'DPMD Jayawardene', 'AD Mathews', 'LD Chandimal', 'KMDN Kulasekara', 'HMRKB Herath', 'SL Malinga', 'RMS Eranga']",Australia,field,Sri Lanka,,,runs,20,,['DPMD Jayawardene']
